@relation 'EmailRelation-weka.filters.unsupervised.attribute.Remove-R5-6,17-18,21-22-weka.filters.supervised.instance.Resample-B0.0-S1-Z15.0-weka.filters.unsupervised.attribute.Remove-R4,14-16'

@attribute alphaCount numeric
@attribute alphaNumCount numeric
@attribute alphaWordCount numeric
@attribute charSeq1 numeric
@attribute charSeq2 numeric
@attribute charSeq3 numeric
@attribute charSeq4 numeric
@attribute charSeq5 numeric
@attribute charSeq6 numeric
@attribute charSeq7 numeric
@attribute charSeq8 numeric
@attribute charSeq9 numeric
@attribute numberCount numeric
@attribute whiteSpaceCount numeric
@attribute spam {SPAM,NOTSPAM}

@data
0.586957,0.633779,0.795918,0.112245,0.102041,0.132653,0.112245,0.102041,0.05102,0.081633,0.020408,0.010204,0.285714,0.264214,SPAM
0.730072,0.733696,0.95,0.025,0.1,0.1125,0.15,0.1125,0.15,0.1,0.0375,0.0125,0.025,0.20471,SPAM
0.753868,0.756681,0.921053,0.052632,0.078947,0.114035,0.157895,0.061404,0.105263,0.078947,0.035088,0.008772,0.017544,0.201125,SPAM
0.88,0.88,0.964286,0.035714,0.035714,0.107143,0.035714,0.071429,0.107143,0.214286,0.035714,0,0,0.109091,SPAM
0.748918,0.750155,0.988166,0.011834,0.011834,0.04142,0.076923,0.088757,0.16568,0.177515,0.112426,0.118343,0.011834,0.176871,SPAM
0.634211,0.65,0.875,0.071429,0.089286,0.125,0.125,0.035714,0.089286,0.053571,0.089286,0,0.107143,0.247368,SPAM
0.828987,0.828987,0.977612,0.011194,0.033582,0.048507,0.052239,0.186567,0.197761,0.108209,0.149254,0.160448,0,0.152457,SPAM
0.696023,0.704545,0.964912,0.017544,0.087719,0.210526,0.157895,0.157895,0.122807,0.087719,0,0.017544,0.052632,0.227273,SPAM
0.749017,0.760031,0.925532,0.021277,0.106383,0.095745,0.106383,0.12234,0.111702,0.069149,0.058511,0.010638,0.074468,0.193548,SPAM
0.641851,0.678068,0.831169,0.038961,0.116883,0.116883,0.12987,0.077922,0.12987,0.064935,0.012987,0,0.233766,0.237425,SPAM
0.700148,0.714919,0.9,0.041667,0.133333,0.116667,0.158333,0.066667,0.083333,0.05,0.016667,0.041667,0.083333,0.230428,SPAM
0.704545,0.717914,0.931034,0.017241,0.112069,0.112069,0.198276,0.086207,0.068966,0.051724,0.103448,0.017241,0.086207,0.217914,SPAM
0.71134,0.71134,0.608696,0.304348,0.217391,0.086957,0.043478,0.086957,0.086957,0.043478,0,0,0,0.154639,SPAM
0.750779,0.750779,0.981481,0.018519,0.203704,0.111111,0.203704,0.111111,0.018519,0.055556,0.037037,0.055556,0,0.208723,SPAM
0.768595,0.77686,0.935484,0.032258,0.193548,0.16129,0.064516,0.096774,0.064516,0.032258,0.064516,0,0.064516,0.173554,SPAM
0.716129,0.716129,1,0,0.105263,0.263158,0.105263,0.105263,0,0.105263,0,0.105263,0,0.2,SPAM
0.776163,0.777616,0.847826,0.108696,0.181159,0.15942,0.101449,0.137681,0.123188,0.137681,0,0,0.007246,0.210756,SPAM
0.662763,0.700234,0.861538,0.030769,0.123077,0.138462,0.123077,0.092308,0.153846,0.076923,0.030769,0,0.246154,0.224824,SPAM
0.696203,0.740506,0.884615,0,0.115385,0.423077,0.076923,0,0.038462,0.038462,0.038462,0,0.269231,0.208861,SPAM
