@relation 'EmailRelation-weka.filters.unsupervised.attribute.Remove-R5-6,17-18,21-22-weka.filters.supervised.instance.Resample-B0.0-S1-Z15.0-weka.filters.unsupervised.attribute.Remove-R4,14-16-weka.filters.unsupervised.attribute.Remove-R1-3,13'

@attribute charSeq1 numeric
@attribute charSeq2 numeric
@attribute charSeq3 numeric
@attribute charSeq4 numeric
@attribute charSeq5 numeric
@attribute charSeq6 numeric
@attribute charSeq7 numeric
@attribute charSeq8 numeric
@attribute charSeq9 numeric
@attribute whiteSpaceCount numeric
@attribute spam {SPAM,NOTSPAM}

@data
0.014493,0.014493,0.173913,0.347826,0.202899,0.144928,0.028986,0.028986,0.014493,0.221719,SPAM
0.044362,0.127542,0.060998,0.109057,0.049908,0.029575,0.042514,0.012939,0.014787,0.260364,SPAM
0.008646,0.025937,0.069164,0.100865,0.112392,0.129683,0.152738,0.115274,0.092219,0.137043,SPAM
0.014545,0.061818,0.098182,0.127273,0.087273,0.076364,0.036364,0.036364,0.029091,0.209318,SPAM
0,0.068966,0.137931,0.172414,0,0.068966,0.034483,0.068966,0.034483,0.205479,SPAM
0.00411,0.013699,0.042466,0.086301,0.115068,0.128767,0.178082,0.139726,0.112329,0.126852,SPAM
0.024096,0.072289,0.120482,0.13253,0.096386,0.108434,0.120482,0.060241,0.096386,0.182163,SPAM
0,0.142857,0.285714,0,0.142857,0.142857,0.142857,0,0.142857,0.204082,SPAM
0.025424,0.101695,0.118644,0.127119,0.101695,0.033898,0.09322,0.033898,0.084746,0.207595,SPAM
0.028986,0.15942,0.115942,0.144928,0.086957,0.057971,0.144928,0.057971,0.014493,0.233405,SPAM
0.129032,0.16129,0.137097,0.112903,0.096774,0.056452,0.056452,0.072581,0.008065,0.23639,SPAM
0.037037,0,0.074074,0.037037,0.148148,0.148148,0.259259,0.111111,0.074074,0.131068,SPAM
0.053812,0.058296,0.147982,0.071749,0.06278,0.058296,0.049327,0.026906,0.03139,0.201567,SPAM
0.089286,0.053571,0.071429,0.107143,0.089286,0.142857,0.107143,0,0.053571,0.154639,SPAM
0,0.071429,0.095238,0.166667,0.142857,0.095238,0.119048,0.071429,0.071429,0.148867,SPAM
0,0.181818,0.090909,0.090909,0,0.181818,0.272727,0,0,0.208333,SPAM
0.053892,0.095808,0.095808,0.113772,0.077844,0.05988,0.071856,0.017964,0.02994,0.241567,SPAM
0.136752,0.128205,0.145299,0.094017,0.059829,0.042735,0.068376,0.034188,0.025641,0.23994,SPAM
0.06,0.18,0.26,0.16,0.12,0.02,0.06,0.06,0.04,0.244224,SPAM
0.106383,0.070922,0.106383,0.113475,0.042553,0.056738,0.042553,0.028369,0.028369,0.265306,SPAM
0.12,0.08,0.1,0.06,0.02,0,0.08,0.02,0.02,0.293919,SPAM
0.018868,0.075472,0.066038,0.179245,0.103774,0.09434,0.09434,0.075472,0.04717,0.188148,SPAM
0.02381,0.142857,0.095238,0.142857,0.071429,0.047619,0.119048,0.047619,0.047619,0.174721,SPAM
0.026316,0.087719,0.087719,0.157895,0.078947,0.052632,0.087719,0.070175,0.026316,0.197708,SPAM
0.117647,0.137255,0.196078,0.156863,0.098039,0.039216,0.058824,0.039216,0,0.21865,SPAM
0.032258,0.193548,0.16129,0.064516,0.096774,0.064516,0.032258,0.064516,0,0.173554,SPAM
0.063291,0.177215,0.151899,0.21519,0.101266,0.037975,0.088608,0.025316,0.012658,0.231293,SPAM
0.044118,0.132353,0.147059,0.132353,0.088235,0.147059,0.073529,0.014706,0.014706,0.234483,SPAM
0.112245,0.102041,0.132653,0.112245,0.102041,0.05102,0.081633,0.020408,0.010204,0.264214,SPAM
0.007867,0.035839,0.049825,0.061189,0.070804,0.060315,0.065559,0.055944,0.042832,0.180739,SPAM
